Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
223	0.000050	152.640182	0.491811	0.920762	96.973999	74.639999	93.659996	
224	0.000050	153.325994	0.490499	0.920793	97.021996	74.669998	93.570000	
225	0.000050	154.026579	0.492162	0.921260	96.888000	74.820000	93.639999	
226	0.000050	154.711788	0.490492	0.924288	96.993996	74.629997	93.430000	
227	0.000050	155.390105	0.490353	0.918316	96.981995	74.639999	93.769997	
228	0.000050	156.072634	0.489793	0.919284	96.889999	74.599998	93.549995	
229	0.000050	156.756067	0.488045	0.921333	97.019997	74.750000	93.649994	
230	0.000050	157.429504	0.487848	0.918655	97.005997	74.860001	93.639999	
231	0.000050	158.123267	0.486683	0.916483	97.037994	74.959999	93.579994	
232	0.000050	158.798396	0.486507	0.918698	96.987999	74.769997	93.570000	
233	0.000050	159.487989	0.484492	0.915175	97.071999	74.820000	93.720001	
234	0.000050	160.164947	0.485503	0.915953	97.112000	74.779999	93.699997	
235	0.000050	160.844641	0.484216	0.913219	97.047997	75.099998	93.739998	
236	0.000050	161.521924	0.484562	0.919551	97.059998	74.669998	93.680000	
237	0.000050	162.199649	0.482629	0.922373	97.077995	74.709999	93.680000	
238	0.000050	162.872217	0.483238	0.914922	97.143997	74.790001	93.709999	
239	0.000050	163.564514	0.482847	0.919361	97.040001	75.009995	93.509995	
240	0.000050	164.258230	0.482515	0.918347	96.956001	74.709999	93.610001	
